"Año","Semestre","Total"
"2025","1","27"
"2025","2","31"
"2024","1","34"
"2024","2","24"
"2023","1","31"
"2023","2","25"
"2022","1","33"
"2022","2","24"
"2021","1","38"
"2021","2","31"
"2020","1","29"
"2020","2","21"
"2019","1","2"
"2019","2","54"
"2018","1","27"
"2018","2","19"
"2017","1","27"
"2017","2","19"
"2016","1","25"
"2016","2","26"
"2015","1","14"
"2015","2","13"
"2014","1","12"
"2014","2","19"
"2013","1","36"
"2013","2","22"
"2012","1","22"
"2012","2","43"
"2011","1","27"
"2011","2","16"
"2010","1","15"
"2010","2","18"
"2009","1","8"
"2009","2","13"